source,feature,numeric_feature,recommended_incremental,anchor_missing_fraction_all,classification,rationale,exact_base_overlap,formula_or_derived_relationship
macro_audit_only,DTWEXBGS_source_missing,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_value_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_value_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_value,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_first_available_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_carry_age_calendar_days,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_carry_age_spy_sessions,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_reason_code,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
ai_diagnostic_only,reference_lag_sessions,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_active_member_count,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_soxx_close_obs_count_last_5,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_soxx_close_obs_count_last_20,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_soxx_close_obs_count_last_60,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_soxx_reason_code,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_xlk_close_obs_count_last_5,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_xlk_close_obs_count_last_20,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_xlk_close_obs_count_last_60,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_xlk_reason_code,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_aiq_close_obs_count_last_5,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_aiq_close_obs_count_last_20,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_aiq_close_obs_count_last_60,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
