sample_id,security_id,Instrument,formation_session,split,reference_session,p_up
c7c1f3e1f427a178214bddcd,WDC.OQ,WDC.OQ,2021-01-06,validation,2021-01-05,0.571289672232523
b91cc65f1eb788d803fe3a66,ZBRA.OQ,ZBRA.OQ,2021-01-06,validation,2021-01-05,0.6157103399431131
04a784a00994f027cc7189f3,ADI.OQ,ADI.OQ,2021-01-07,validation,2021-01-06,0.5784907532385323
8f06cdeaa7d41cf84373251f,AMD.OQ,AMD.OQ,2021-01-07,validation,2021-01-06,0.7090217535173707
952248c198a1cd83bf900e0a,AMT.N,AMT.N,2021-01-07,validation,2021-01-06,0.6326381377017238
065622cbd5edf6ea392c98b0,AMZN.OQ,AMZN.OQ,2021-01-07,validation,2021-01-06,0.6939633850093432
ddc2a1d4ae93811d99c4af01,ANET.N,ANET.N,2021-01-07,validation,2021-01-06,0.6270189537572314
a4aca56cf54891422d0ba1b0,APTV.N,APTV.N,2021-01-07,validation,2021-01-06,0.499659669505804
8dc6a42890722e58bda9d8db,AVGO.OQ,AVGO.OQ,2021-01-07,validation,2021-01-06,0.6525691291428677
cbbf222effb0f7000d1dd828,CARR.N,CARR.N,2021-01-07,validation,2021-01-06,0.4415275885564209
50d0e009fc262cc5d42c810b,CDNS.OQ,CDNS.OQ,2021-01-07,validation,2021-01-06,0.6595012616993109
f33f1d2bd704687dd7d681e9,CSCO.OQ,CSCO.OQ,2021-01-07,validation,2021-01-06,0.6262215395485472
56cb0cd257d81b3ef0913f5c,DELL.N,DELL.N,2021-01-07,validation,2021-01-06,0.5884792846754956
cab46759a9143d392a87c813,DLR.N,DLR.N,2021-01-07,validation,2021-01-06,0.5922941706803707
0354d43bade6f9c80c5014e4,EQIX.OQ,EQIX.OQ,2021-01-07,validation,2021-01-06,0.580808980562167
1db760dd1df225c1eee904f6,ETN.N,ETN.N,2021-01-07,validation,2021-01-06,0.42261869332535745
d19e0edee84d7f8ea80e2796,GOOG.OQ,GOOG.OQ,2021-01-07,validation,2021-01-06,0.6585495691801357
09d13cc1f997f5fc3798c079,HON.OQ,HON.OQ,2021-01-07,validation,2021-01-06,0.5631213927883982
f4ef4134331e6e82049d9d3c,HPE.N,HPE.N,2021-01-07,validation,2021-01-06,0.5586300754574799
efef8260635cc4b9f3e043ac,IBM.N,IBM.N,2021-01-07,validation,2021-01-06,0.49592364931154614
3e4b49bbf8d2ea6aa45307f2,INTC.OQ,INTC.OQ,2021-01-07,validation,2021-01-06,0.5530721902521671
fc2e2d0bac6a8435c7620208,IRM.N,IRM.N,2021-01-07,validation,2021-01-06,0.6015319526370769
de305c2aa8fdb1a4eb4a4008,ISRG.OQ,ISRG.OQ,2021-01-07,validation,2021-01-06,0.6265078809349314
d73e9da201da17f726fbcc18,JCI.N,JCI.N,2021-01-07,validation,2021-01-06,0.4440887763642337
e3d6f557c1ec4bd7a73028ab,JNPR.N^G25,JNPR.N^G25,2021-01-07,validation,2021-01-06,0.543348196152269
b82c4afbeea20f3b58d8b6fa,META.OQ,META.OQ,2021-01-07,validation,2021-01-06,0.6862639194973282
0fe81cf15807db1845b966f6,MSFT.OQ,MSFT.OQ,2021-01-07,validation,2021-01-06,0.7049240634614523
e1644e2cee1d43299a976da9,MU.OQ,MU.OQ,2021-01-07,validation,2021-01-06,0.6244300215364852
ca58469f76979635fd2b3dfe,NOW.N,NOW.N,2021-01-07,validation,2021-01-06,0.7031595823667703
7b63f31968fd9f248b65042b,NTAP.OQ,NTAP.OQ,2021-01-07,validation,2021-01-06,0.6414294591326238
dd9f91ded769923cbc47f928,NVDA.OQ,NVDA.OQ,2021-01-07,validation,2021-01-06,0.758670915507871
3e5798ac2957c05f67b236cd,ORCL.N,ORCL.N,2021-01-07,validation,2021-01-06,0.6512320528291078
b6245e0adf15eadc4a070742,QCOM.OQ,QCOM.OQ,2021-01-07,validation,2021-01-06,0.6195768762973125
fca82003f7116516407b0bce,ROK.N,ROK.N,2021-01-07,validation,2021-01-06,0.41327797091163937
bfa801f2c6c06dc91aeabbdb,SNPS.OQ,SNPS.OQ,2021-01-07,validation,2021-01-06,0.6563775583017605
6e7b6a8697744035e85221e6,STX.OQ,STX.OQ,2021-01-07,validation,2021-01-06,0.6431010111395854
83ae5ae3470d8806304bd0c0,TER.OQ,TER.OQ,2021-01-07,validation,2021-01-06,0.6004658024323819
f2464084e05f602580e33c8b,TSLA.OQ,TSLA.OQ,2021-01-07,validation,2021-01-06,0.6238675867638159
ac8e10e33730e02ea4a130a8,TT.N,TT.N,2021-01-07,validation,2021-01-06,0.49611164803541824
97454e70028a48b7f6a62836,TXN.OQ,TXN.OQ,2021-01-07,validation,2021-01-06,0.5783158853132446
a61b597d72a4966d5843cc1d,WDC.OQ,WDC.OQ,2021-01-07,validation,2021-01-06,0.5152050028326408
417387effb54d58d8b0111e9,ZBRA.OQ,ZBRA.OQ,2021-01-07,validation,2021-01-06,0.47369564634326017
8a1d884ec39def84bb69a378,ADI.OQ,ADI.OQ,2021-01-08,validation,2021-01-07,0.5239752546409172
c9ab55962fb33bcd8f4eaf7c,AMD.OQ,AMD.OQ,2021-01-08,validation,2021-01-07,0.5673983942859305
ed950d3407fe8582d4d27de6,AMT.N,AMT.N,2021-01-08,validation,2021-01-07,0.586317994384364
5382cfc687d131496ead00ca,AMZN.OQ,AMZN.OQ,2021-01-08,validation,2021-01-07,0.6638181210201209
b52c4f9eb522163d5c777a2a,ANET.N,ANET.N,2021-01-08,validation,2021-01-07,0.583228509229485
c6dc1e957c934959abdcc4d3,APTV.N,APTV.N,2021-01-08,validation,2021-01-07,0.4893187040985554
77470abce4338d00525233d0,AVGO.OQ,AVGO.OQ,2021-01-08,validation,2021-01-07,0.5810522410451064
62ce85340ba8483e309c6734,CARR.N,CARR.N,2021-01-08,validation,2021-01-07,0.5242472714306128
ffd86c2ec79a74e2006cde96,CDNS.OQ,CDNS.OQ,2021-01-08,validation,2021-01-07,0.49650754430515004
a4dedacb722e7e0576a5fb38,CSCO.OQ,CSCO.OQ,2021-01-08,validation,2021-01-07,0.6434230159903996
f00a2ab42c10463e5f407c77,DELL.N,DELL.N,2021-01-08,validation,2021-01-07,0.5650202768878442
9f1a16116fbbf59129a94270,DLR.N,DLR.N,2021-01-08,validation,2021-01-07,0.5872375076702538
06fd0be4360365391b4c22bc,EQIX.OQ,EQIX.OQ,2021-01-08,validation,2021-01-07,0.5090975845953408
b0046d07623f7b99e3b1629f,ETN.N,ETN.N,2021-01-08,validation,2021-01-07,0.5156095001362693
67b8716ac746a54c301fd2e0,GOOG.OQ,GOOG.OQ,2021-01-08,validation,2021-01-07,0.6025930831995931
206396641484904f0488cf43,HON.OQ,HON.OQ,2021-01-08,validation,2021-01-07,0.6286435166502758
bfd3f2a354ef24047a3a22f4,HPE.N,HPE.N,2021-01-08,validation,2021-01-07,0.6487878529363889
9919366aca621a38ae944813,IBM.N,IBM.N,2021-01-08,validation,2021-01-07,0.5911012128176025
eb2d8b593df5436417994d37,INTC.OQ,INTC.OQ,2021-01-08,validation,2021-01-07,0.5399930418301303
34b92f1d468d703f57cef6cb,IRM.N,IRM.N,2021-01-08,validation,2021-01-07,0.6566477161713072
9a49f042139baadc4db2a368,ISRG.OQ,ISRG.OQ,2021-01-08,validation,2021-01-07,0.5825655988998426
b9ad1a3a3d7fc0c09125e7af,JCI.N,JCI.N,2021-01-08,validation,2021-01-07,0.4984461549784446
a1b71a54cb1613aa1cfcf73d,JNPR.N^G25,JNPR.N^G25,2021-01-08,validation,2021-01-07,0.5691034829481033
1d6f91e005c9a5936eed6256,META.OQ,META.OQ,2021-01-08,validation,2021-01-07,0.6102120306488826
75ee465beb4febbf1de5f7ad,MSFT.OQ,MSFT.OQ,2021-01-08,validation,2021-01-07,0.619054317343318
30231d43f089138b0a09073b,MU.OQ,MU.OQ,2021-01-08,validation,2021-01-07,0.6079191493552769
7a26f87f731e03be91b65bfa,NOW.N,NOW.N,2021-01-08,validation,2021-01-07,0.6460262907991934
5767ce95035a318731f6de26,NTAP.OQ,NTAP.OQ,2021-01-08,validation,2021-01-07,0.6637027885610218
b4dceed7dbdae182e454acf3,NVDA.OQ,NVDA.OQ,2021-01-08,validation,2021-01-07,0.5555971069996718
52583ece22336b0bd905800d,ORCL.N,ORCL.N,2021-01-08,validation,2021-01-07,0.6578719311403745
4533bd6d6f76c65dd2bad5d7,QCOM.OQ,QCOM.OQ,2021-01-08,validation,2021-01-07,0.5750784423526584
